Company,LTP,Buy,Sell,open,high,low,pre. close ,52W high ,52w low ,Volume ,Gain\loss ,price Gain \loss ,Amit Rathore,amitrathore110409@gmail.com,Amit Rathore
HDFCAMC,2010,NO,NO,2025,2025.95,1995,2017.95,2314.65,1589.5,1661129,LOSS,-15,,,
SHRIRAMFIN,1669,NO,NO,1693.05,1708.55,1641.85,1718.75,1793.55,1146,5355116,LOSS,-24.05,,,
PEL,888.8,NO,NO,928,928.95,876.7,928.95,2084.1,630.45,4581845,LOSS,-39.2,,,
LALPATHLAB,2119,NO,NO,2170,2181.7,2099,2180.45,2750,1762.05,314414,LOSS,-51,,,
RECLTD,156.35,NO,NO,160,160.9,155.45,159.05,168.85,86.1,8520782,LOSS,-3.65,,,
BALKRISIND,2397.95,NO,NO,2434.5,2455.4,2385.75,2462.9,2525,1796.3,361412,LOSS,-36.55,,,
METROPOLIS,1386,NO,NO,1430,1438.45,1376.05,1425.6,1791.2,1171.35,349576,LOSS,-44,,,
EXIDEIND,232.55,NO,NO,229.75,235.65,224.2,229.6,235.7,133.6,7886904,GAIN,2.8,,,
PFC,200.1,NO,NO,202.95,204,198.85,203.25,211.9,100.65,7258270,LOSS,-2.85,,,
JINDALSTEL,567.8,NO,NO,578,581.4,567.1,584.1,622.75,304.65,1927779,LOSS,-10.2,,,
DEEPAKNTR,2207,YES,NO,2268,2282.1,2196.05,2268,2356.6,1681.15,760629,LOSS,-61,,,
TATAMOTORS,560.45,NO,NO,570,571.15,557.7,569.35,585.9,375.2,9362695,LOSS,-9.55,,,
HCLTECH,1168,NO,NO,1161.9,1170.55,1151,1163.4,1175.7,877.35,1699790,GAIN,6.1,,,
HDFCLIFE,629.8,NO,NO,642.45,643,623.8,639,659.95,457.8,4159293,LOSS,-12.65,,,
L&TFH,118.5,NO,YES,120.4,120.4,116.25,120.45,126.9,66.3,13252964,LOSS,-1.9,,,
POWERGRID,250,NO,NO,253.6,254.65,249.55,253.55,259.05,186.35,4195045,LOSS,-3.6,,,
ICICIPRULI,555.3,NO,NO,561.95,567.9,554.4,562.55,608.75,380.7,1473904,LOSS,-6.65,,,
ICICIGI,1274,NO,NO,1275.8,1280.7,1260.1,1275.95,1369,1049.05,325251,LOSS,-1.8,,,
LTTS,3813,NO,YES,3975,3975,3803,3984.05,4318.7,2924.2,581614,LOSS,-162,,,
HINDCOPPER,114.2,NO,NO,115,116,112.25,115.25,132.35,83.1,4736475,LOSS,-0.8,,,
IDFCFIRSTB,77.65,YES,NO,77.6,79.15,75.55,77.6,84.5,29.05,56849916,GAIN,0.05,,,
MFSL,749.5,NO,NO,765,782.45,744.15,762.95,885,599.1,2187413,LOSS,-15.5,,,
EICHERMOT,3529.2,NO,YES,3564.7,3564.7,3509.8,3558.6,3889.65,2665.1,281640,LOSS,-35.5,,,
TATACOMM,1559,NO,NO,1580.45,1589.7,1555.55,1577.6,1674,890.75,560598,LOSS,-21.45,,,
OFSS,3803,NO,YES,3860,3860,3746.1,3853.85,3972.95,2883.25,80101,LOSS,-57,,,
MOTHERSON,83,NO,NO,84.6,84.7,81.35,84.75,91.67,61.8,16432043,LOSS,-1.6,,,
GMRINFRA,42.2,NO,NO,42.45,42.75,41.85,42.4,47.35,33.25,8102957,LOSS,-0.25,,,
IEX,126.95,NO,NO,127,128.9,124.75,126.7,177.35,116,7786678,LOSS,-0.05,,,
M&MFIN,305.3,NO,YES,311.5,311.5,301.15,312.85,328.1,169.35,5823056,LOSS,-6.2,,,
BAJAJ-AUTO,4620,NO,NO,4613.1,4655,4605.4,4612.1,4829.9,3461.25,348409,GAIN,6.9,,,
CUMMINSIND,1850,NO,NO,1853.65,1855.5,1807.1,1844.4,1908,954.35,648800,LOSS,-3.65,,,
